,0,1,2,3,4,5,6,7,8,9,10,11,12
111,Autodafé,12756,Vodka,Lime juice,Soda water,,,,,,,,
112,Avalanche,16419,Crown Royal,Kahlua,Cream,,,,,,,,
113,Avalon,15266,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,
114,Aviation,17180,Gin,lemon juice,maraschino liqueur,,,,,,,,
115,Aztec Punch,14364,Lemonade,Vodka,Rum,Ginger ale,,,,,,,
116,B-52,15853,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,
117,B-53,13332,Kahlua,Sambuca,Grand Marnier,,,,,,,,
118,Baby Eskimo,15511,Kahlua,Milk,Vanilla ice-cream,,,,,,,,
119,Baby Guinness,17079,Kahlua,Baileys irish cream,,,,,,,,,
120,Bacardi Cocktail,17183,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,,,
121,Bahama Mama,17267,Rum,Dark Rum,Banana liqueur,Grenadine,Pineapple Juice,Orange Juice,Sweet and Sour,,,,
122,Bailey's Dream Shake,14510,Baileys irish cream,Vanilla ice-cream,Cream,,,,,,,,
123,Balmoral,11060,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,
124,Banana Cream Pi,178320,Malibu Rum,Banana Liqueur,Pineapple Juice,,,,,,,,
125,Banana Daiquiri,11064,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,,,
126,Barracuda,17209,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,
127,Bee's Knees,178317,Gold rum,Orange Juice,Lime Juice,Triple Sec,,,,,,,
128,Belgian Blue,14071,Vodka,Coconut liqueur,Blue Curacao,Sprite,,,,,,,
129,Bellini,17195,Champagne,Peach schnapps,,,,,,,,,
130,Bellini Martini,16176,Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,,
131,Bermuda Highball,11084,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,
132,Berry Deadly,12876,Everclear,Wine,Orange juice,Kool-Aid,,,,,,,
133,Between The Sheets,17184,Brandy,Light rum,Triple sec,Lemon juice,,,,,,,
134,Bible Belt,16986,Southern Comfort,Triple sec,Lime,Sour mix,,,,,,,
135,Big Red,13222,Irish cream,Goldschlager,,,,,,,,,
136,Bijou,17254,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,
137,Black & Tan,13282,Ale,Guinness stout,,,,,,,,,
138,Black and Brown,16403,Guinness stout,Root beer,,,,,,,,,
139,Black Forest Shake,15951,Ice,Chocolate syrup,Cherry brandy,Vodka,Milk,,,,,,
140,Black Russian,11102,Coffee liqueur,Vodka,,,,,,,,,
141,Blackthorn,11106,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,,
142,Bleeding Surgeon,16295,Dark rum,Orange,Surge,Cranberry juice,,,,,,,
143,Blind Russian,14356,Baileys irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,,
144,Bloody Maria,11112,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,
145,Bloody Mary,11113,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,
146,Bloody Punch,178312,Vodka,Strawberries,Lime Juice,Lemon-lime soda,Lemon-lime soda,Raisins,Blueberries,,,,
147,Blue Hurricane,17268,Rum,Dark Rum,Passoa,Blue Curacao,Sweet and Sour,Ice,,,,,
148,Blue Lagoon,11117,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,
149,Blue Margarita,11118,Tequila,Blue Curacao,Lime juice,Salt,,,,,,,
150,Blue Mountain,11119,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,
151,Blueberry Mojito,178336,Dark Rum,Lime Juice,Sugar,Blueberries,Lemon-lime soda,,,,,,
152,Bluebird,11120,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,
153,Bob Marley,13395,Midori melon liqueur,Jägermeister,Goldschlager,,,,,,,,
154,Bobby Burns Cocktail,11121,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,,
155,Bombay Cassis,17242,Gin,Creme de Cassis,Fresh Lime Juice,Ginger beer,Lime,Ginger,,,,,
156,Boomerang,11124,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,
157,Boozy Snickers Milkshake,17221,Vanilla Ice-Cream,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,,
158,Boston Sidecar,11128,Light rum,Brandy,Triple sec,Lime,,,,,,,
159,Boston Sour,11129,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,,
160,Boulevardier,17251,Campari,Sweet Vermouth,Rye whiskey,Orange Peel,,,,,,,
161,Bounty Hunter,178331,Rum,Coconut Liqueur,Blueberries,Pineapple Juice,Prosecco,,,,,,
162,Bourbon Sling,11146,Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,,,
163,Bourbon Sour,11147,Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,
164,Boxcar,11149,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,
165,Brain Fart,17120,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,
166,Brainteaser,13405,Sambuca,Erin Cream,Advocaat,,,,,,,,
167,Bramble,17210,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,
168,Brandon and Will's Coke Float,16447,Vanilla ice-cream,Coca-Cola,Bourbon,,,,,,,,
169,Brandy Alexander,11016,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,
170,Brandy Cobbler,11157,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,
171,Brandy Flip,11164,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,
172,Brandy Sour,11170,Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,
173,Brave Bull Shooter,13068,Tequila,Tabasco sauce,,,,,,,,,
174,Brigadier,17825,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,,
175,Broadside,178311,151 proof rum,Scotch,Bitters,Wormwood,Ice,,,,,,
176,Brooklyn,178310,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,
177,Bruce's Puce,13066,Grenadine,Kahlua,Baileys irish cream,,,,,,,,
178,Bruised Heart,16998,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,
179,Bubble Gum,14730,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,
180,Buccaneer,17035,Corona,Bacardi Limon,,,,,,,,,
181,Bumble Bee #1,14538,Baileys irish cream,Kahlua,Sambuca,,,,,,,,
182,Butter Baby,17220,Vanilla Ice-Cream,Butterscotch schnapps,Milk,Vodka,,,,,,,
183,Cafe Savoy,14181,Coffee,Milk,Triple sec,Brandy,,,,,,,
184,Caipirinha,11202,Sugar,Lime,Cachaca,,,,,,,,
185,Caipirissima,13206,Lime,Sugar,White rum,Ice,,,,,,,
186,California Lemonade,11205,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,,
187,California Root Beer,14282,Kahlua,Galliano,Soda water,,,,,,,,
188,Campari Beer,16047,Lager,Campari,,,,,,,,,
189,Captain Kidd's Punch,178329,Rum,Lime Juice,Egg White,Bitters,Sugar,Nutmeg,,,,,
190,Caribbean Boilermaker,17065,Corona,Light rum,,,,,,,,,
191,Caribbean Orange Liqueur,12796,Orange,Vodka,Sugar,,,,,,,,
192,Casa Blanca,11222,Light rum,Triple sec,Lime juice,Maraschino liqueur,,,,,,,
193,Casino,17185,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,
194,Casino Royale,11224,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,
195,Champagne Cocktail,11227,Champagne,Sugar,Bitters,Lemon peel,Cognac,,,,,,
196,Cherry Electric Lemonade,17174,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,
197,Cherry Rum,11239,Light rum,Cherry brandy,Light cream,,,,,,,,
198,Chicago Fizz,11242,Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,,
199,Chocolate Black Russian,11243,Kahlua,Vodka,Chocolate ice-cream,,,,,,,,
200,Chocolate Milk,13328,Chocolate liqueur,Milk,Amaretto,,,,,,,,
201,Citrus Coke,17135,Bacardi Limon,Coca-Cola,,,,,,,,,
202,City Slicker,11251,Brandy,Triple sec,Lemon juice,,,,,,,,
203,Classic Old-Fashioned,11145,Bitters,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,,
